route,origin,dest,n_flights,avg_arr_delay,avg_dep_delay,pct_arr_del15
LGB-OAK,LGB,OAK,285,-0.7789473684210526,3.568421052631579,0.12982456140350876
LGB-PDX,LGB,PDX,7,-5.571428571428571,5.0,0.14285714285714285
LGB-PHX,LGB,PHX,226,1.9469026548672566,8.230088495575222,0.15486725663716813
LGB-RNO,LGB,RNO,119,0.2773109243697479,5.201680672268908,0.17647058823529413
LGB-SJC,LGB,SJC,213,0.20187793427230047,6.938967136150235,0.14553990610328638
LGB-SLC,LGB,SLC,257,-1.727626459143969,5.2412451361867705,0.12062256809338522
LGB-SMF,LGB,SMF,320,-3.784375,2.090625,0.06875
LGB-STL,LGB,STL,59,-8.23728813559322,4.4576271186440675,0.1016949152542373
LIH-DEN,LIH,DEN,68,-11.073529411764707,10.691176470588236,0.07352941176470588
LIH-HNL,LIH,HNL,1392,7.526580459770115,4.647270114942529,0.22054597701149425
LIH-KOA,LIH,KOA,60,14.583333333333334,17.95,0.2833333333333333
LIH-LAS,LIH,LAS,60,-19.566666666666666,1.2,0.03333333333333333
LIH-LAX,LIH,LAX,194,-4.061855670103093,16.969072164948454,0.1134020618556701
LIH-OAK,LIH,OAK,118,-16.838983050847457,6.322033898305085,0.06779661016949153
LIH-OGG,LIH,OGG,240,2.625,3.0416666666666665,0.12916666666666668
LIH-PDX,LIH,PDX,42,26.904761904761905,44.595238095238095,0.35714285714285715
LIH-PHX,LIH,PHX,67,24.19402985074627,48.53731343283582,0.13432835820895522
LIH-SAN,LIH,SAN,14,24.428571428571427,37.0,0.42857142857142855
LIH-SEA,LIH,SEA,177,2.389830508474576,21.864406779661017,0.22033898305084745
LIH-SFO,LIH,SFO,75,-15.746666666666666,-2.9466666666666668,0.09333333333333334
LIH-SJC,LIH,SJC,10,5.8,18.9,0.2
LIT-ATL,LIT,ATL,340,3.088235294117647,4.1382352941176475,0.1588235294117647
LIT-CLT,LIT,CLT,185,11.91891891891892,15.005405405405405,0.1945945945945946
LIT-DAL,LIT,DAL,169,-4.136094674556213,4.023668639053255,0.08875739644970414
LIT-DCA,LIT,DCA,58,-0.6551724137931034,4.689655172413793,0.25862068965517243
LIT-DEN,LIT,DEN,115,1.5478260869565217,9.669565217391304,0.1826086956521739
LIT-DFW,LIT,DFW,422,10.374407582938389,11.848341232227488,0.25355450236966826
