year,month,airline,avg_arr_delay,rolling_3mo_avg_delay,rolling_3mo_flights
2024,6,B6,15.31205892958327,10.672031753942662,60391
2024,7,B6,18.64943854020453,14.51593951228603,60503
2024,8,B6,25.944796241446227,19.96876457041134,58943
2024,9,B6,2.2693444237714786,15.62119306847408,57804
2024,10,B6,-3.561936995574069,8.217401223214546,57061
2024,11,B6,-3.0827323089787813,-1.458441626927124,56613
2024,12,B6,15.612422723068685,2.989251139505278,58882
2025,1,B6,5.799204319408923,6.109631577832943,57272
2025,2,B6,12.680559586695304,11.364062209724304,55365
2025,3,B6,7.495151142438147,8.658305016180792,55961
2025,4,B6,-0.6950901803607215,6.493540182924243,58326
2025,5,B6,9.759544130423672,5.519868364167032,60666
2025,6,B6,13.994371282922685,7.686275077661879,58359
2025,7,B6,24.486639181554438,16.08018486496693,58046
2025,8,B6,10.542569620883775,16.341193361786967,58552
2025,9,B6,3.8522424167235285,12.96048373972058,55841
2025,10,B6,8.784929701230228,7.72658057961251,54402
2024,1,DL,4.354044326577003,4.354044326577003,73906
2024,2,DL,-4.234094008801901,0.059975158887550784,145027
2024,3,DL,2.000121128432477,0.7066904820691929,227584
2024,4,DL,2.451901106208064,0.0726427419462133,236393
2024,5,DL,8.327223469133283,4.259748567924608,253490
2024,6,DL,6.251108310642032,5.676744295327794,259807
2024,7,DL,22.51379242373294,12.364041401169418,263335
2024,8,DL,5.945182872435326,11.570027868936767,264797
2024,9,DL,-1.510253517781868,8.982907259462133,260138
2024,10,DL,-4.681557925052285,-0.08220952346627579,261396
2024,11,DL,-3.999657705896016,-3.3971563829100564,253517
2024,12,DL,4.3215006729475105,-1.4532383193335967,252518
2025,1,DL,5.211988836306274,1.8446106011192562,239186
2025,2,DL,3.8849639590271043,4.472817822760296,228554
2025,3,DL,3.925955442423666,4.3409694125856815,229409
2025,4,DL,3.79168557033358,3.8675349905947836,238998
2025,5,DL,7.986014531514665,5.234551848090637,257565
2025,6,DL,13.002155196480217,8.259951766109488,263045
2025,7,DL,11.963211351432946,10.983793693142609,272033
2025,8,DL,2.7825184656238147,9.249295004512327,271923
2025,9,DL,-1.8596178794669183,4.29537064586328,267162
